namep,cntrcd,rgn,ind,tnp,nnp,adr,datein,pttype,srvcs,xchtype,uid,participantstatus,regn,prntbic,englname
"АО БАНК ""ОБЪЕДИНЕННЫЙ КАПИТАЛ""",RU,40,195220,г,Санкт-Петербург,"ул. Гжатская, д.21, кор.2, лит.А",1994-02-17,20,5,1,4030826000,PSAC,2611,,"Joint-Stock Company Bank ""United capital"""
ПУ БАНКА РОССИИ РУБЕЖНОЕ,,27,238151,г,Черняховск,"ул Пионерская, 7",2016-01-01,40,3,1,2785002000,PSAC,,044030001,
"ООО КБ ""АЛТАЙКАПИТАЛБАНК""",RU,01,656043,г,Барнаул,"ул Льва Толстого, 38 А",1994-03-29,20,5,1,0173771000,PSAC,2659,,
САМАРСКИЙ ФИЛИАЛ АО ЮНИКРЕДИТ БАНКА,RU,36,443010,г,Самара,"ул. Чапаевская/Красноармейская, д.178/12",2006-04-24,30,3,1,3601777000,PSAC,1/7,044525545,
"КУ КБ ""ПЕРВЫЙ ЭКСПРЕСС"" (ОАО) ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2014-01-30,90,1,0,7003779000,PSAC,3237,,
ОТДЕЛЕНИЕ КРАСНОЯРСК БАНКА РОССИИ,,04,660049,г,Красноярск,"ул. Дубровинского, зд. 70",1994-01-20,12,3,1,0407001000,PSAC,,045004001,
Избирательная комиссия Пензенской области,RU,56,440000,г,Пенза,"ул Володарского, 49",1995-07-07,99,1,1,5655001036,PSAC,,,
"АКБ ""КУЗБАССХИМБАНК"" (ПАО)",RU,32,650040,г,Кемерово,"ул Юрия Двужильного, 12",1994-07-29,20,3,1,3207793000,PSAC,2868,,
"ЗАО Банк ""Арванд""",TJ,00,735700,г,Худжанд,"проспект Исмоили Сомони 1 ""А""",2022-10-03,71,6,0,1000000022,PSAC,,,"CJSC Bank ""Arvand"""
"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""",RU,40,195112,г,Санкт-Петербург,"Малоохтинский пр-т, 64 лит А",1994-01-20,20,5,1,4030790000,PSAC,436,,"""Bank ""Saint-Petersburg"" Public Joint-Stock Company"
"ПАО БАНК ""АЛЕКСАНДРОВСКИЙ""",RU,40,191119,г,Санкт-Петербург,"Загородный пр-т, 46 к. 2 лит. Б",1994-01-20,20,5,1,4030755000,PSAC,53,,ALEKSANDROVSKY BANK
СЕВЕРО-ЗАПАДНЫЙ БАНК ПАО СБЕРБАНК,RU,40,191124,г,Санкт-Петербург,"ул Красного Текстильщика, 2",1994-01-20,30,3,1,4030653000,PSAC,1481/1309,044525225,SBERBANK (SEVERO-ZAPADNY HEAD OFFICE)
"КБ ""ЭНЕРГОТРАНСБАНК"" (АО)",RU,27,236016,г,Калининград,"ул Клиническая, 83А",1994-01-20,20,5,1,2748701000,PSAC,1307,,"CB ""ENERGOTRANSBANK"" (JSC)"
"АО ""ГОРБАНК""",RU,40,191186,г,Санкт-Петербург,"ул. Итальянская, д. 15, литер А",1994-12-09,20,5,1,4030814000,PSAC,2982,,"PETERSBURG'S CITY BANK, INC"
"АО БАНК ""ПСКБ""",RU,40,191123,г,Санкт-Петербург,"ул. Шпалерная, д. 42, литера А",1994-01-20,20,5,1,4030852000,PSAC,2551,,"Joint-stock company ""Petersburg social commercial bank"""
НКО АО ПРЦ,RU,40,191023,г,Санкт-Петербург,"ул Садовая, 12/23",1997-03-04,20,3,1,4030505000,PSAC,3306-К,,PETERSBURG SETTLEMENT CENTER LIMITED (PSC LTD)
ДАЛЬНЕВОСТОЧНЫЙ ФИЛИАЛ ПАО РОСБАНК,RU,05,690091,г,Владивосток,"ул Уборевича, 11",2005-03-21,30,3,1,0507871000,PSAC,2272/73,044525256,
УФК по Владимирской области,RU,17,600000,г,Владимир,"Октябрьский пр-т, 3",2000-01-01,52,3,1,1708001377,PSAC,,,
Узнацбанк,UZ,00,100084,г,Ташкент,пр. Амира Темура 101,2022-08-02,71,6,0,1000000005,PSAC,,,
"ОАО ""Тавхидбанк""",TJ,00,734042,г,Душанбе,"улица С. Айни, 4/1",2022-08-02,71,6,0,1000000006,PSAC,,,
"ЗАО МДО ""ИМОН ИНТЕРНЕШНЛ""",TJ,00,735700,г,Худжанд,"17 микрорайон, дом 2",2022-08-02,71,6,0,1000000019,PSAC,,,
"АО ""ПЕРВОУРАЛЬСКБАНК""",RU,65,623101,г,Первоуральск,"пр-т Ильича, 9 Б",1994-01-20,20,3,1,6577402000,PSAC,965,,"JOINT-STOCK COMPANY ""PERVOURALSKBANK"""
Ф-Л БАНКА ГПБ (АО) В Г. КАЛИНИНГРАДЕ,RU,27,236039,г,Калининград,"Ленинский пр-т, 5",2007-09-13,30,3,1,2748866000,PSAC,354/38,044525823,GAZPROMBANK (JOINT - STOCK COMPANY)(KALININGRAD BRANCH)
"АО БАНК ""ВЕНЕЦ""",RU,73,432071,г,Ульяновск,"ул Марата, 19",1994-01-20,20,5,1,7308813000,PSAC,524,,Bank VENETS
Центральный банк Республики Армения,AM,00,0010,г,Ереван,"ул. Вазгена Саргсяна, д. 6",2015-01-19,99,3,0,4501002010,PSAC,,,
"ООО БАНК ""САРАТОВ""",RU,63,410071,г,Саратов,"ул Шелковичная, 177",1994-01-20,20,5,1,6311755000,PSAC,330,,
"НКО ""МОНЕТА"" (ООО)",RU,88,424000,г,Йошкар-Ола,"ул Гоголя, 2, стр ""А""",2012-07-12,20,5,1,8860734000,PSAC,3508-К,,
"ПАО ""СОВКОМБАНК""",RU,34,156000,г,Кострома,"пр-т Текстильщиков, 46",1994-01-20,20,5,1,3469743000,PSAC,963,,PJSC SOVCOMBANK
УФК по Алтайскому краю,RU,01,656043,г,Барнаул,"Красноармейский пр-т, 9",2000-01-01,52,3,1,0173001001,PSAC,,,
"""СИБСОЦБАНК"" ООО",RU,01,656049,г,Барнаул,"пр-т Ленина, 61 А",1994-01-20,20,5,1,0173745000,PSAC,2015,,"""SIBSOCBANK"" Ltd"
КИВИ Банк (АО),RU,45,117648,г,Москва,"мкр. Чертаново Северное, д. 1А, корп.1",1994-01-20,20,5,1,4525416000,PSAC,2241,,QIWI BANK (JOINT-STOCK COMPANY)
"АО ""БАНК ""АГРОРОС""",RU,63,410017,г,Саратов,"ул Чернышевского, 90",1994-07-01,20,5,1,6311772000,PSAC,2860,,
"РНКО ""Р-ИНКАС"" (ООО)",RU,45,127051,г,Москва,"Малый Каретный переулок, дом  8",2017-03-27,20,3,1,4525063000,PSAC,3536-К,,
435 ИТУ Минобороны России,RU,66,214000,г,Смоленск,"ул. Маршала Жукова, д. 12",2022-08-12,99,1,0,6614001180,PSAC,,,
СИБИРСКИЙ ФИЛИАЛ ПАО РОСБАНК,RU,04,660135,г,Красноярск,"ул. Взлетная, д.57",2005-01-14,30,3,1,0407388000,PSAC,2272/62,044525256,
"СФ АО АКБ ""МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ КЛУБ""",RU,04,660049,г,Красноярск,"ул. Карла Маркса, д. 93 ""А""",2009-05-28,30,3,1,0407592000,PSAC,2618/1,044525632,
УФК по Московской области,RU,45,115114,г,Москва,ул. Дербеневская д. 5,2022-06-23,52,1,1,4600002003,PSAC,,,
"АО ""Классик Эконом Банк""",RU,90,362025,г,Владикавказ,"ул Фрунзе, 24",1996-09-25,20,3,1,9033758000,PSAC,3298,,
"АКБ ""Универсал банк""",UZ,00,150700,г,Коканд,улица Шохрухобод,2022-10-27,71,6,0,1000000023,PSAC,,,
ПУ Банка России Рокоссовское,,18,400066,г,Волгоград,Пр. имени В.И. Ленина д.18,2022-08-31,40,1,1,1801002000,PSAC,,040349001,
"АО ""УРАЛПРОМБАНК""",RU,75,454090,г,Челябинск,"ул Свободы, 97",1994-09-27,20,5,1,7501906000,PSAC,2964,,
"ОАО ""Ориёнбанк""",TJ,00,734001,г,Душанбе,"проспект Рудаки, 95/1",2022-08-22,71,6,0,1000000008,PSAC,,,
"АО ""ANORBANK""",UZ,00,100170,г,Ташкент,"Мирзо-Улугбекский р-н, ул. Сайрам 5-проезд, дом 4",2022-08-22,71,6,0,1000000003,PSAC,,,
"ЗАО ""Банк Компаньон""",KG,00,720044,г,Бишкек,"ул. Шота Руставели, 62",2022-08-22,71,6,0,1000000020,PSAC,,,
"ОАО ""БАКАЙ БАНК""",KG,00,720040,г,Бишкек,"ул. Московская, 118",2022-08-22,71,6,0,1000000021,PSAC,,,
"""Северный Народный Банк"" (АО) Ф-л в г. Москва",RU,45,127051,г,Москва,"Петровский бульвар, д. 11",1995-07-10,30,3,1,4525307000,PSAC,2721/2,048702781,
ЦИК Адыгеи,RU,79,385000,г,Майкоп,"ул Пионерская, 199",1995-08-29,99,1,0,7908001002,PSAC,,,
"КУ ООО ""Промрегионбанк"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",2019-11-14,90,1,0,4525814000,PSAC,2123,,
ПУ БАНКА РОССИИ КОЛЬЦОВСКОЕ,,20,394018,г,Воронеж,ул. Театральная д. 36,2022-07-01,40,3,1,2001002000,PSAC,,044525000,
"АО ""Первый Инвестиционный Банк""",RU,45,127247,г,Москва,"Бескудниковский бульвар, дом 36, корпус 1",1994-01-20,20,5,1,4525408000,PSAC,604,,JSC `FINBANK`
"АКБ ""НРБанк"" (АО)",RU,45,117292,г,Москва,"проспект 60-летия Октября, д.10А",1994-01-20,20,5,1,4525933000,PSAC,2170,,JSC NATIONAL RESERVE BANK
"КУРСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,38,305004,г,Курск,"ул Садовая, 12",2001-05-08,30,3,1,3807798000,PSAC,3349/32,044525111,
"КУ АО КБ ""СЕВЕРНЫЙ КРЕДИТ"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2018-03-19,90,1,0,1909769000,PSAC,2398,,
"КОНКУР.УПРАВ.ОАО БАНК ""ПСБ""-ГК АСВ",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",2015-02-10,90,1,0,8073765000,PSAC,1943,,
"КОНКУР.УПРАВ.ОАО ""АФ БАНК""-ГК АСВ",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",2014-07-21,90,1,0,8073855000,PSAC,991,,
"КУ ООО ""УРАЛКАПИТАЛБАНК"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1994-02-17,90,1,0,8073809000,PSAC,2519,,
"КУ ООО РИКБ ""РИНВЕСТБАНК"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2016-09-30,90,1,0,6126790000,PSAC,3262,,
"ООО БАНК ""АВЕРС""",RU,92,420111,г,Казань,"ул Мусы Джалиля, 3",1994-01-20,20,5,1,9205774000,PSAC,415,,"Limited liability company Bank ""Avers"" (LLC Bank ""Avers"")"
УФК по Кемеровской области - Кузбассу,RU,32,650000,г,Кемерово,"ул. Мичурина, д. 54",2000-01-01,52,3,1,3207001212,PSAC,,,
"КУ АО АКБ ""БАНКИРСКИЙ ДОМ"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2016-05-17,90,1,0,4030892000,PSAC,2928,,
"государственная корпорация ""Агентство по страхованию вкладов""",RU,45,109240,г,Москва,"ул. Высоцкого, д.4",2015-12-29,99,3,1,4525000051,PSAC,,,
"Ф-Л СИБИРСКИЙ ПАО БАНК ""ФК ОТКРЫТИЕ""",RU,50,630009,г,Новосибирск,"ул. Добролюбова, д. 16",2016-09-27,30,3,1,5004867000,PSAC,2209/47,044525985,
"КУ БАНК ""СИБЭС"" (АО) - ГК ""АСВ""",RU,52,644007,г,Омск,"ул Рабиновича, 132/134",2017-06-22,90,1,0,5209713000,PSAC,208,,
Избирательная комиссия Калининградской области,RU,27,236006,г,Калининград,"Московский пр-т, 95",2000-01-01,99,1,0,2748001001,PSAC,,,
Избирательная комиссия Новгородской области,RU,49,173005,г,Великий Новгород,"пл Победы-Софийская, 1",2000-01-01,99,1,1,4959001901,PSAC,,,
"АО ""ТОЛЬЯТТИХИМБАНК""",RU,36,445009,г,Тольятти,"ул Горького, 96",1994-01-20,20,5,1,3678838000,PSAC,2507,,"Joint-Stock company ""TOGLIATTIKHIMBANK"""
"АО ""Датабанк""",RU,94,426076,г,Ижевск,"ул Ленина, 30",1994-01-20,20,5,1,9401871000,PSAC,646,,DATABANK
ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. СТАВРОПОЛЕ,RU,07,355000,г,Ставрополь,"ул Маршала Жукова, 7",1994-01-20,30,3,1,0702788000,PSAC,1000/9,044525187,
"КУ ООО КБ ""Кредит Экспресс"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого,4",1995-05-15,90,1,0,6015961000,PSAC,3186,,
ПАО СТАВРОПОЛЬПРОМСТРОЙБАНК,RU,07,355041,г,Ставрополь,"ул Краснофлотская, 88 А",1994-01-20,20,5,1,0702760000,PSAC,1288,,
Ф-Л БАНКА ГПБ (АО) В Г. НОВОМ УРЕНГОЕ,RU,71,629300,г,Новый Уренгой,"ул. 26 Съезда КПСС, 4",2019-10-31,30,3,1,7186825000,PSAC,354/6,044525823,GAZPROMBANK (JOINT-STOCK COMPANY) (NOVIY URENGOY BRANCH)
"ф-л ""Невский"" ПАО ""Банк ""Санкт-Петербург""",RU,50,630091,г,Новосибирск,"ул. Гоголя, д. 7,9,11",2019-12-20,30,3,1,5004888000,PSAC,436/29,044030790,
"Филиал ООО КБ ""РостФинанс"" в Благовещенске",RU,10,675004,г,Благовещенск,"ул. Пионерская, дом 2, пом.№20011, 20030",2022-11-03,30,3,1,1012051000,PSAC,481/5,046015052,
"Филиал ""Уральский"" АО КБ ""Солидарность""",RU,65,620026,г,Екатеринбург,"улица Белинского, строение 55",2018-12-18,30,3,1,6577517000,PSAC,554/12,043601706,
"Филиал ""Дальневосточный"" АО КБ ""Солидарность""",RU,10,675025,г,Благовещенск,"ул. Краснофлотская, дом 77, помещения 20003, 20004",2019-06-10,30,3,1,1012050000,PSAC,554/13,043601706,
"Московский филиал ООО КБ ""Дружба""",RU,45,109044,г,Москва,"улица Воронцовская, дом 4, строение 1",2020-07-06,30,3,1,4525310000,PSAC,990/3,047102802,
"ФИЛИАЛ ""ЛЫСЬВА"" АО АКБ ""АЛЕФ-БАНК""",RU,57,618905,г,Лысьва,"Пожарского, д.8",2018-10-05,30,3,1,5773804000,PSAC,2119/3,044525268,
"Филиал ПАО РОСБАНК ""Росбанк Дом""",RU,45,123112,г,Москва,"1-й Красногвардейский проезд, д. 19",2019-06-14,30,3,1,4525354000,PSAC,2272/94,044525256,
Филиал РОСБАНК Авто ПАО РОСБАНК,RU,45,123112,г,Москва,"1-й Красногвардейский проезд, д. 19, этаж 13",2021-03-01,30,3,1,4525454000,PSAC,2272/95,044525256,
"Филиал АО АКБ ""НОВИКОМБАНК"" в г. Новосибирске",RU,50,630005,г,Новосибирск,"ул. Писарева, д. 32.",2020-04-27,30,3,1,5004162000,PSAC,2546/6,044525162,
КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК,RU,03,350000,г,Краснодар,"ул Красноармейская, 34",1994-01-20,30,3,1,0349602000,PSAC,1481/638,044525225,
Национальный Банк Республики Казахстан,KZ,00,0,г,Астана,"район ""Есиль"", проспект Мангилик Ел, здание 57А",1998-10-29,99,1,0,4501002006,PSAC,,,
Межрегиональное операционное УФК,RU,45,109240,г,Москва,"ул В. Радищевская, 11, стр 1",2011-08-17,52,5,1,4501002901,PSAC,,,
"Московский филиал АО ""Банк Акцепт""",RU,45,121293,г,Москва,"площадь Победы, дом 2, корпус 2",2009-10-22,30,3,1,4525757000,PSAC,567/2,045004815,
"АО ""Райффайзенбанк""",RU,45,119002,г,Москва,"Смоленская-Сенная площадь, дом 28",1997-02-18,20,5,1,4525700000,PSAC,3292,,AO RAIFFEISENBANK
"ООО ""ПроКоммерцБанк""",RU,45,127422,г,Москва,"ул. Тимирязевская, д.1",1994-09-20,20,3,1,4525699000,PSAC,2996,,PROCOMMERCEBANK
"АО ""САРОВБИЗНЕСБАНК""",RU,22,607189,г,Саров,"ул Силкина, 13",2017-05-22,20,3,1,2202718000,PSAC,2048,,
"КУ АИБ ""ИМБАНК"" (ОАО) ГК ""АСВ""",RU,82,367009,г,Махачкала,"ул Каммаева, 19, к ""Ж""",2014-04-09,90,1,0,8209744000,PSAC,2098,,
"КУ АО АКБ ""ЭЛЬБИН"" ГК ""АСВ""",RU,82,367009,г,Махачкала,"ул Каммаева, 19, к ""Ж""",2018-06-28,90,1,0,8209755000,PSAC,2267,,
"КУ ОАО АКБ ""ЭКСПРЕСС"" ГК ""АСВ""",RU,82,367009,г,Махачкала,"ул Каммаева, 19, к ""Ж""",2013-04-29,90,1,0,8209918000,PSAC,3084,,
БАНК ПТБ (ООО),RU,80,450008,г,Уфа,"ул Ленина, 70",1994-09-20,20,5,1,8073846000,PSAC,2638,,
ЧИТИНСКОЕ ОТДЕЛЕНИЕ  N8600 ПАО СБЕРБАНК,RU,76,672010,г,Чита,"ул Полины Осипенко, 40",1994-11-15,30,3,1,7601637000,PSAC,1481/1727,044525225,Sberbank (Baikalsky Head Office) (Chita Branch)
"ООО ""Чайна Констракшн Банк""",RU,45,101000,г,Москва,"Лубянский проезд, д. 11/1, стр. 1",2013-04-10,20,3,1,4525777000,PSAC,3515,,LLC 'CHINA CONSTRUCTION BANK'
"АО АКБ ""ЕВРОФИНАНС МОСНАРБАНК""",RU,45,121099,г,Москва,"ул. Новый Арбат, д. 29",1994-03-01,20,5,1,4525204000,PSAC,2402,,EVROFINANCE MOSNARBANK
"АКБ ""БЭНК ОФ ЧАЙНА"" (АО)",RU,45,129110,г,Москва,"проспект Мира, д.72",1994-01-20,20,3,1,4525213000,PSAC,2309,,BANK OF CHINA (RUSSIA)
Санкт-Петербургская избирательная комиссия,RU,40,190107,г,Санкт-Петербург,"Исаакиевская пл., дом 6, офис 302",2000-01-01,99,1,0,4030001001,PSAC,,,
"ООО ""МБ РУС Банк""",RU,45,125167,г,Москва,"Ленинградский проспект, дом 39А",2007-09-24,20,3,1,4525159000,PSAC,3473,,
"Ф-Л ДАЛЬНЕВОСТОЧНЫЙ ПАО БАНКА ""ФК ОТКРЫТИЕ""",RU,08,680000,г,Хабаровск,"Амурский б-р, 18",2016-09-19,30,3,1,0813704000,PSAC,2209/51,044525985,
УФК по Донецкой Народной Республике,RU,21,283012,г,Донецк,"ул. Артёма, 38",2023-01-04,52,3,1,2157001101,PSAC,,,
"ООО ""Бланк банк""",RU,45,117105,г,Москва,"Варшавское шоссе, д. 9, стр. 1",1994-01-20,20,5,1,4525801000,PSAC,2368,,Blanc bank Limited Liability Company (Blanc bank LLC)
"Камчатский РФ АО ""Россельхозбанк""",RU,30,683024,г,Петропавловск-Камчатский,"пр-т 50 лет Октября, 21",2002-03-11,30,3,1,3002801000,PSAC,3349/53,044525111,
УФК по Хабаровскому краю,RU,08,680000,г,Хабаровск,"ул Дзержинского, 41",2011-01-31,52,3,1,0886002002,PSAC,,,
"ООО ""Промсельхозбанк""",RU,45,107045,г,Москва,"вн.тер.г. муниципальный округ Тверской, пер. Успенский, д.3, стр.2.",1994-01-20,20,5,1,4525771000,PSAC,538,,"Industrial Agricultural Bank Limited (""Promselhozbank"" Ltd.)"
АО НОКССБАНК,RU,18,400005,г,Волгоград,"ул 7-ой Гвардейской, 2",1995-03-27,20,5,1,1806831000,PSAC,3202,,JSC NOKSSBANK
"АЛТАЙСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,01,656015,г,Барнаул,"пр-т Ленина, 80 Б",2001-04-06,30,3,1,0173733000,PSAC,3349/18,044525111,
"ООО ""РУСБС""",RU,07,357601,г,Ессентуки,"ул Гагарина, 13",1994-01-20,20,3,1,0715725000,PSAC,779,,
"ООО ""Банк Точка""",RU,45,109456,г,Москва,"1-й Вешняковский проезд, д. 1, стр. 8, 1 этаж, пом. 43",2023-02-21,20,5,1,4525104000,PSAC,3545,,
РНКО АЗИЯПЭЙ ООО,RU,45,101000,г,Москва,"переулок Лялин, д. 9, стр. 1",2022-12-13,20,3,1,4525055000,PSAC,3544-К,,
"ООО ""ЗЕМСКИЙ БАНК""",RU,36,446001,г,Сызрань,"ул Ульяновская, 79",1994-08-12,20,5,1,3601811000,PSAC,2900,,"LLC ""Zemsky bank"""
"КУ АО ""Рускобанк"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",2023-04-11,90,1,0,4030725000,PSAC,138,,
"КУ ПАО ""Выборг-банк"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",2023-04-11,90,1,0,4030728000,PSAC,720,,
"Конкурсный управляющий ООО ""ЛЕНОБЛБАНК"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",2023-04-11,90,1,0,4030738000,PSAC,1003,,
"Конкурсный управляющий АО АКБ ""Констанс-Банк"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",2023-04-11,90,1,0,4030842000,PSAC,2228,,
"КУ ПАО АКБ ""НОВАЦИЯ"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2017-03-28,90,1,0,7908700000,PSAC,840,,
"ФИЛИАЛ ""РОСТОВСКИЙ"" АО ""АЛЬФА-БАНК""",RU,60,344000,г,Ростов-на-Дону,"ул Красноармейская, 206",2000-07-14,30,3,1,6015207000,PSAC,1326/18,044525593,
"КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ ООО ""БАНК РБ""-ГК ""АСВ""",RU,32,650903,г,Кемерово,"пр-т Ленина, д. 33, корп.2, оф. 311",2015-01-21,90,1,0,3207776000,PSAC,1910,,
УФК по Приморскому краю,RU,05,690091,г,Владивосток,"ул. Светланская, д. 69",2022-12-05,52,1,1,0583002002,PSAC,,,
УФК по Волгоградской области,RU,18,400066,г,Волгоград,ул. Коммунистическая д.28а,2023-05-19,52,1,0,1801002001,PSAC,,,
ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. ЕКАТЕРИНБУРГЕ,RU,65,620014,г,Екатеринбург,"ул Маршала Жукова, 5",1999-02-12,30,3,1,6577952000,PSAC,1000/28,044525187,VTB BANK (PJSC) (EKATERINBURG BRANCH)
"ООО ""Америкэн Экспресс Банк""",RU,45,119048,г,Москва,"ул. Усачева, дом 33, строение 1",2006-04-13,20,5,1,4525717000,PSAC,3460,,
"АО ""БАНК БЕРЕЙТ""",RU,41,187015,пгт,Красный Бор,"ул. Промышленная, д. 3, пом. II",2023-05-16,20,3,1,4030905000,PSAC,3505,,"Joint Stock Company ""BANK BEREIT"""
"ПАО КБ ""ВОСТОЧНЫЙ""",RU,10,675004,г,Благовещенск,"переулок Св. Иннокентия, 1",1994-01-20,20,3,1,1012718000,PSAC,1460,,ORIENT EXPRESS BANK
Избирком Карелии,RU,86,185035,г,Петрозаводск,"ул Куйбышева, 5",2000-01-01,99,1,0,8602001001,PSAC,,,
Избирательная комиссия Ленинградской области,RU,40,197342,г,Санкт-Петербург,"ул. Торжковская, дом 4 литера А",2023-04-25,99,1,0,4030001107,PSAC,,,
"ГСБ РТ ""Амонатбонк""",TJ,00,734013,город,Душанбе,проспект Рудаки 105,2023-04-25,71,6,0,1000000026,PSAC,,,
"ООО ""ОЗОН Банк""",RU,45,123112,г,Москва,"Пресненская набережная, дом 10, этаж 19",2022-03-18,20,5,1,4525068000,PSAC,3542,,
"КУ ПАО ""ИНТЕХБАНК"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2017-04-24,90,1,1,9205804000,PSAC,2705,,
"КУ АКБ ""СПУРТ"" (ПАО) - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2017-10-06,90,1,1,9205858000,PSAC,2207,,
"КУ ПАО ""ТАТФОНДБАНК"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2017-04-20,90,1,1,9205815000,PSAC,3058,,
Территориальная избирательная комиссия Прионежского района,RU,86,185005,г,Петрозаводск,"ул. Правды, д. 14",2023-07-10,99,1,0,8602001114,PSAC,,,
"ООО КБ ""МВС БАНК""",RU,82,367008,г,Махачкала,"ул. Танкаева, 60",1994-01-20,20,3,1,8209775000,PSAC,2407,,
ОРЕНБУРГСКОЕ ОТДЕЛЕНИЕ N8623 ПАО СБЕРБАНК,RU,53,460961,г,Оренбург,"ул. Володарского, двлд. 16",1994-11-15,30,3,1,5354601000,PSAC,1481/1042,044525225,
"ГК ""АСВ"" - КУ АО ""НСТ-БАНК""",RU,36,109240,г,Москва,"ул. Высоцкого,4",2018-10-02,90,1,0,5354880000,PSAC,1738,,
"АО КБ ""СОЛИДАРНОСТЬ""",RU,36,443099,г,Самара,"ул Куйбышева, 90",1994-01-20,20,5,1,3601706000,PSAC,554,,"Joint-Stock Company Commercial Bank ""Solidarnost"" JSC CB ""Solidarnost"""
"КУ ООО ""ДАГЭНЕРГОБАНК"" ГК ""АСВ""",RU,82,367009,г,Махачкала,"ул Каммаева, 19, к ""Ж""",2015-06-26,90,1,0,8209964000,PSAC,3286,,
"АНО ""СОДФУ""",RU,45,119017,г,Москва,"Старомонетный переулок, дом 3",2018-10-26,99,3,1,4525000030,PSAC,,,
"Тульский РФ АО ""Россельхозбанк""",RU,70,300041,г,Тула,"ул Тургеневская, 5",2000-10-27,30,3,1,7003715000,PSAC,3349/1,044525111,
УФК по г. Санкт-Петербургу,RU,40,197101,г,Санкт-Петербург,"ул Котовского, 1/10",2013-01-09,52,1,1,4080002010,PSAC,,,
"ФИЛИАЛ БАНКА ""ВБРР"" (АО) В Г.НОВОСИБИРСКЕ",RU,50,630007,г,Новосибирск,"ул Сибревкома, 2",2014-09-04,30,3,1,5004778000,PSAC,3287/13,044525880,
"АО ""Таганрогбанк""",RU,60,347900,г,Таганрог,"ул.Греческая,71 ",2018-09-26,20,3,1,6015946000,PSAC,3136,,
"КУ ПАО ""ДОНХЛЕББАНК""- ГК ""АСВ""",RU,45,109240,г,Москва,"ул.Высоцкого, д.4",1994-01-20,90,1,0,6015761000,PSAC,2285,,
БАНК ПЕРМЬ (АО),RU,57,614015,г,Пермь,"ул Куйбышева, 10",1994-01-20,20,5,1,5773756000,PSAC,875,,
ИЗБИРАТЕЛЬНАЯ КОМИССИЯ ЧУКОТСКОГО АВТОНОМНОГО ОКРУГА,RU,77,689000,г,Анадырь,"ул Тевлянто, 8",1993-12-31,99,1,1,7719001105,PSAC,,,
"АО ""БАНК АКЦЕПТ""",RU,50,630099,г,Новосибирск,"ул Советская, 14",1994-01-20,20,5,1,5004815000,PSAC,567,,Joint-stock company Bank Akcept
ПУ БАНКА РОССИИ МОСКОВСКОЕ,,50,630901,г,Новосибирск,,1994-01-20,40,3,1,5080002000,PSAC,,045004001,
"КУ АО ""Тагилбанк"" - ГК ""АСВ""",RU,65,109240,г,Москва,"ул. Высоцкого, д. 4",1994-01-20,90,1,0,6510805000,PSAC,1635,,
"КУ ООО КБ ""РЕНЕССАНС"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2016-03-22,90,1,0,4525083000,PSAC,1939,,
"КУ ""ИНТЕРАКТИВНЫЙ БАНК"" (ООО) - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2016-08-26,90,1,0,4525096000,PSAC,3378,,
"КУ АО КБ ""Златкомбанк"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1994-01-20,90,1,0,4525122000,PSAC,568,,
"КУ АКБ ""ИНКАРОБАНК"" (АО) - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1994-07-29,90,1,0,4525124000,PSAC,2696,,
