namep,cntrcd,rgn,ind,tnp,nnp,adr,datein,pttype,srvcs,xchtype,uid,participantstatus,regn,prntbic,englname
"Донецкий ф-л ПАО ""Промсвязьбанк""",RU,21,283015,г,Донецк,"пр-кт Мира, 8А",2023-01-04,30,3,1,2157106000,PSAC,3251/52,044525555,
"СТ-ПЕТЕРБУРГСКИЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""",RU,40,191186,г,Санкт-Петербург,"ул Миллионная, 38А лит Б",2001-02-23,30,3,1,4030920000,PSAC,3251/6,044525555,"Promsvyazbank Public Joint-Stock Company, St.Petersburg Branch"
"КУ АКБ ""АПАБАНК"" (АО) - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1994-01-20,90,1,0,4525238000,PSAC,2404,,APABANK
"Ликвидатор АО ""РУНА-БАНК"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1995-03-27,90,1,0,4525261000,PSAC,3207,,
"Ликвидатор КБ ""МКБ"" (АО) - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1994-01-20,90,1,0,4525319000,PSAC,2524,,"""International commercial bank"" (""ICB"")"
"Ликвидатор АО ""ОРБАНК"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1994-01-20,90,1,0,4525298000,PSAC,937,,"Joint-stock company ""United Reserve Bank"""
"КУ ООО КБ ""Жилкредит"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1994-01-20,90,1,0,4525325000,PSAC,1736,,
"КУ АКБ ""МАСТЕР-КАПИТАЛ"" (ОАО) - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2018-06-25,90,1,0,4525756000,PSAC,3011,,
"КУ ООО КБ ""СОЮЗНЫЙ"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1996-03-25,90,1,0,4525553000,PSAC,3236,,
"КУ КБ ""Геобанк"" (ООО) - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1994-01-20,90,1,0,4525775000,PSAC,2027,,
"КУ АО ""Кросна-Банк"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1994-06-15,90,1,0,4525773000,PSAC,2607,,
"Ликвидатор ООО КБ ""ПЛАТИНА"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1994-01-20,90,1,0,4525931000,PSAC,2347,,"Commercial Bank ""PLATINA"" LTD"
"КУ ""УМ-Банк"" ООО - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",2017-04-17,90,1,0,4525941000,PSAC,1441,,
Центральный банк Мьянмы,MM,00,,город,Нейпьидо,"Office №.55, Yarzathingaha Street, Ottarathiri Township",2023-09-19,65,1,0,4501002083,PSAC,,,
"КУ ПАО АГРОИНКОМБАНК-ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2016-01-19,90,1,0,1203726000,PSAC,1946,,
территориальная избирательная комиссия по Ленинскому административному округу г. Омска Омской области,RU,52,644020,г,Омск,"пр. К. Маркса, 62",2023-10-30,99,1,0,5209001027,PSAC,,,
"КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ ""АКБ НМБ ОАО""-ГК ""АСВ""",RU,32,654027,г,Новокузнецк,"Проспект Курако, дом 51А/2, офис3",2014-03-07,90,1,0,3209705000,PSAC,2865,,
"КУ АО ""Мираф-Банк"" - ГК ""АСВ""",RU,52,644043,г,Омск,"ул. Фрунзе, д.54",2018-10-16,90,1,0,5209703000,PSAC,2244,,
"Ликвидатор АБ ""АСПЕКТ"" (АО) - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1994-01-20,90,1,0,4525401000,PSAC,608,,
АО МОСОБЛБАНК,RU,45,107023,г,Москва,"улица Большая Семеновская, дом 32, строение 1",1994-01-20,20,3,1,4525521000,PSAC,1751,,Joint stock company MOSCOVSKIY OBLASTNOI BANK (JSC MOSOBLBANK)
"АО РНКО ""НОДА""",RU,45,107014,г,Москва,"улица Гастелло, дом 2",2018-12-17,20,3,1,6401989000,PSAC,503-К,,"NBCO ""NODA"" joint stock company"
ОТДЕЛЕНИЕ САРАТОВ БАНКА РОССИИ,,63,410028,г,Саратов,"ул Советская, зд.2, стр.1",1994-01-20,12,3,1,6311001000,PSAC,,042202001,
"ЮЖНЫЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""",RU,18,400005,г,Волгоград,"ул им. маршала Чуйкова, 65 А",2003-08-11,30,3,1,1806715000,PSAC,3251/15,044525555,
ЮГО-ЗАПАДНЫЙ БАНК ПАО СБЕРБАНК,RU,60,344068,г,Ростов-на-Дону,"ул Евдокимова, 37",1994-05-30,30,3,1,6015602000,PSAC,1481/1190,044525225,YUGO-ZAPADNY HEAD OFFICE
"КУ АО ""ВОЛОГДАБАНК"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2017-02-16,90,1,0,1909717000,PSAC,992,,
"ЛИКВИДАТОР ООО ""ЮМК БАНК""",RU,45,109240,г,Москва,"ул. Высоцкого, 4",2009-08-06,90,1,0,0349830000,PSAC,3495,,
Избирательная комиссия Красноярского края,RU,04,660009,г,Красноярск,"пр. Мира, д. 110",2000-01-01,99,1,1,0407001007,PSAC,,,
