bic	namep	rgn	ind	tnp	nnp	adr	prntbic	datein	pttype	srvcs	xchtype	uid	participantstatus	regn	cntrcd	account	regulationaccounttype	ck	accountcbrbic	accountstatus	englname	swbic	defaultswbic
044525140	КУ КБ "БМБ" (ООО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-23	90	1	0	4525140000	PSAC	2992	RU	30101810445250000140	CRSA	86	044525000	ACAC			
044525259	КУ АКБ "НЗБАНК", ОАО - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-11	90	1	0	4525259000	PSAC	2944	RU	30101810145250000259	CRSA	88	044525000	ACAC			
044525832	КУ ЗАО "МАБ" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2000-06-27	90	1	0	4525832000	PSAC	1987	RU	30101810000000000832	CRSA	41	044525000	ACAC			
044525907	КУ АКБ "СВА" (АО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2000-06-27	90	1	0	4525907000	PSAC	2768	RU	30101810100000000907	CRSA	18	044525000	ACAC			
044525306	КУ ПАО КБ "ЕВРОКОММЕРЦ" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-19	90	1	0	4525306000	PSAC	1777	RU	30101810645250000306	CRSA	82	044525000	ACAC			
044525083	КУ ООО КБ "РЕНЕССАНС" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-19	90	1	0	4525083000	PSAC	1939	RU	30101810845250000083	CRSA	39	044525000	ACAC			
046126790	КУ ООО РИКБ "РИНВЕСТБАНК" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		1995-07-20	90	1	0	6126790000	PSAC	3262	RU	30101810000000000790	CRSA	72	046126001	ACAC			
049033780	КУ ИАБ "ДИГ-БАНК" (ОАО) ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д.4		1998-04-14	90	1	0	9033780000	PSAC	2423	RU	30101810500000000780	CRSA	51	049033001	ACAC			
044525679	КУ ООО КБ "Нэклис-Банк" - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д. 4		2016-05-18	90	1	0	4525679000	PSAC	1671	RU	30101810945250000679	CRSA	62	044525000	ACAC			
046015761	КУ ПАО "ДОНХЛЕББАНК"- ГК "АСВ"	45	109240	г	Москва	ул.Высоцкого, д.4		1992-12-07	90	1	0	6015761000	PSAC	2285	RU	30101810800000000761	CRSA	17	046015001	ACAC			
047601205	КУ ООО КБ Центрально-Европейский Банк-ГК АСВ	45	109240	г	Москва	г. Москва, ул. Высоцкого, д.4		2017-11-14	90	1	0	7601205000	PSAC	2670	RU	30101810950040000205	CRSA	43	047601001	ACAC			
044525491	КУ ООО ПИР Банк - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д. 4		2015-09-10	90	1	0	4525491000	PSAC	2655	RU	30101810945250000491	CRSA	05	044525000	ACAC		BPIRRUMMXXX	1
045773764	ЛИКВИДАТОР АКБ "ПРОИНВЕСТБАНК" (АО) - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д. 4		1997-05-16	90	1	1	5773764000	PSAC	784	RU	30101810700000000764	CRSA	95	045773001	ACAC			
044525534	КУ ОАО БАНК "ЗАПАДНЫЙ" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2013-06-20	90	1	0	4525534000	PSAC	2598	RU	30101810900000000534	CRSA	08	044525000	ACAC			
044525238	КУ АКБ "АПАБАНК" (АО) - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д. 4		2015-08-27	90	1	0	4525238000	PSAC	2404	RU	30101810645250000238	CRSA	49	044525000	ACAC	APABANK	APABRUMMXXX	1
044525538	КУ "РИАБАНК" (АО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-10	90	1	0	4525538000	PSAC	3434	RU	30101810345250000538	CRSA	29	044525000	ACAC			
044525457	КУ КБ "ЭКСПРЕСС-КРЕДИТ" (АО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-24	90	1	0	4525457000	PSAC	210	RU	30101810345250000457	CRSA	71	044525000	ACAC			
047501742	КУ ЗАО КБ "УРАЛЛИГА"	45	109240	г	Москва	ул. Высоцкого, 4		1993-02-04	90	1	0	7501742000	PSAC	1626	RU	30101810000000000742	CRSA	44	047501001	ACAC			
048073809	КУ ООО "УРАЛКАПИТАЛБАНК" - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д. 4		1993-05-28	90	1	0	8073809000	PSAC	2519	RU	30101810500000000809	CRSA	30	048073001	ACAC			
047003779	КУ КБ "ПЕРВЫЙ ЭКСПРЕСС" (ОАО) ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		1995-04-07	90	1	0	7003779000	PSAC	3237	RU	30101810200000000779	CRSA	18	047003001	ACAC			
044525692	КУ КБ "МЕТРОПОЛЬ" ООО - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-02	90	1	0	4525692000	PSAC	1639	RU	30101810045250000692	CRSA	38	044525000	ACAC			
046577909	УРАЛЬСКИЙ ФИЛИАЛ АО "БАНК ИНТЕЗА"	65	620014	г	Екатеринбург	пр-т Ленина, 20 А	044525922	2005-01-27	30	3	1	6577909000	PSAC	2216/8	RU	30101810000000000909	CRSA	55	046577001	ACAC			
044030308	ООО РНКО "Платежный конструктор"	40	197046	г	Санкт-Петербург	Петроградская набережная, дом 22, лит. А, пом. 39-Н, офис 1		2022-07-05	20	5	1	4030308000	PSAC	3543-К	RU	30103810245374030308	CRSA	59	044030001	ACAC			
042001002	ПУ БАНКА РОССИИ КОЛЬЦОВСКОЕ	20	394018	г	Воронеж	ул. Театральная, 36, помещение 1	044525000	2022-07-01	40	3	1	2001002000	PSAC										
